iter	MultiClass
0	1.992087359
1	1.93093889
2	1.907008508
3	1.891263263
4	1.882670908
5	1.875508483
6	1.872017414
7	1.868597524
8	1.865045092
9	1.862884891
10	1.861083116
11	1.858899399
12	1.857218762
13	1.855514782
14	1.854086139
15	1.852803381
16	1.851659521
17	1.85046116
18	1.8492964
19	1.847915229
20	1.84677976
21	1.845845636
22	1.8448957
23	1.84399729
24	1.843115395
25	1.842235463
26	1.841046994
27	1.840349209
28	1.839545321
29	1.838666779
30	1.837614568
31	1.836665891
32	1.835847121
33	1.834830475
34	1.833959308
35	1.833225591
36	1.832678681
37	1.832065888
38	1.831248799
39	1.830464355
40	1.829835915
41	1.829275444
42	1.82868902
43	1.827933595
44	1.827394972
45	1.826867906
46	1.826334199
47	1.825621614
48	1.824808785
49	1.824226015
50	1.823777477
51	1.823249497
52	1.822547107
53	1.82191895
54	1.821321333
55	1.820674478
56	1.819915356
57	1.819319483
58	1.818938866
59	1.818380091
60	1.817719422
61	1.817003985
62	1.816457633
63	1.815957454
64	1.815224933
65	1.814531387
66	1.813987682
67	1.813378914
68	1.812938227
69	1.812268237
70	1.811738918
71	1.811293387
72	1.810693105
73	1.810216896
74	1.80967082
75	1.809173039
76	1.808658726
77	1.808260017
78	1.807829602
79	1.807419329
80	1.806816189
81	1.80642106
82	1.805798573
83	1.805221795
84	1.804817161
85	1.80435612
86	1.803696399
87	1.803292309
88	1.802659782
89	1.802196343
90	1.801777833
91	1.80144045
92	1.801116288
93	1.800644894
94	1.80015786
95	1.799684312
96	1.799295593
97	1.79888648
98	1.798499224
99	1.797959538
