iter	Passed	Remaining
0	766	75887
1	1129	55326
2	1583	51215
3	1955	46927
4	2379	45219
5	2746	43032
6	3178	42225
7	3984	45819
8	4334	43828
9	5230	47074
10	5646	45682
11	6031	44228
12	6499	43495
13	7005	43031
14	7566	42876
15	8145	42762
16	8555	41769
17	9209	41953
18	9881	42124
19	10545	42183
20	11235	42266
21	11587	41084
22	11972	40082
23	12488	39548
24	13121	39364
25	13547	38557
26	14199	38391
27	14798	38053
28	15294	37444
29	15755	36762
30	16402	36507
31	17009	36144
32	17488	35506
33	18209	35348
34	18789	34894
35	19357	34414
36	19958	33984
37	20556	33539
38	21212	33178
39	22077	33116
40	22695	32659
41	23174	32002
42	23648	31348
43	24210	30813
44	24598	30064
45	25075	29436
46	25629	28901
47	26023	28192
48	26525	27607
49	27030	27030
50	27447	26371
51	27992	25839
52	28787	25528
53	29492	25123
54	30144	24663
55	30521	23981
56	30978	23369
57	31327	22685
58	31704	22032
59	32080	21387
60	32518	20790
61	32926	20180
62	33275	19542
63	33692	18952
64	34242	18438
65	34624	17836
66	34979	17228
67	35312	16617
68	35577	15984
69	35938	15402
70	36200	14786
71	36488	14189
72	36838	13625
73	37253	13088
74	37594	12531
75	37975	11992
76	38255	11426
77	38564	10877
78	38936	10350
79	39290	9822
80	39692	9310
81	40009	8782
82	40339	8262
83	40672	7747
84	40990	7233
85	41264	6717
86	41653	6224
87	41972	5723
88	42298	5227
89	42600	4733
90	42857	4238
91	43166	3753
92	43465	3271
93	43799	2795
94	44128	2322
95	44462	1852
96	44936	1389
97	45384	926
98	45783	462
99	46189	0
